xls,site_name,proxy,age,age_uncertainty_older,age_uncertainty_younger,co2,co2_uncertainty_higher,co2_uncertainty_lower,reference,doi,co2_as_published,proxy_category,category_reason,co2_superseded,co2_recalculated,co2_revised_reason,age_as_published,age_quarantined,age_superseded,age_recalculated,age_revised_reason,modern_latitude,modern_longitude
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,40917.8,195.93,195.93,864.55,177.08,143.35,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,41467.76,198.42,198.42,963.44,195.69,180.52,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,42387.36,202.59,202.59,885.73,185.4,148.84,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,43068.05,205.68,205.68,945.05,199.58,173.52,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,43068.05,205.68,205.68,955.12,182.42,159.99,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,43383.6,207.1,207.1,857.89,155.43,142.82,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,43744.22,208.74,208.74,1044.29,201.5,161.86,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,44537.61,212.32,212.32,1063.92,209.44,181,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,44873.44,213.84,213.84,1014.87,197.44,187.64,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
boron_isotopes_anagnostou_2020_p1.0.xlsx,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,Boron Proxies,44873.44,213.84,213.84,1023.7,208.22,170.65,"Anagnostou, E., John, E.H., Babila, T.L. et al. Proxy evidence for state-dependence of climate sensitivity in the Eocene greenhouse. Nat Commun 11, 4436 (2020). ",10.1038/s41467-020-17887-x,true,1,all known sources of error have been quantified and/or sensitivity of the CO2 estimate to those sources is small,,,,true,false,False,false,added age uncertainties based on power fit on LR04 uncertainties,18.4403,-179.5558
